teacher_code,nom,prenom,sexe,date_naissance,telephone,email,specialite,grade,date_embauche,statut
TEACH-00001,Roche,David,M,1987-03-30,+33 7 55 85 80 48,gerardmarion@example.org,Python,Maître Assistant,2010-03-13,Permanent
TEACH-00002,Camus,Stéphane,M,1997-11-13,0326324453,louise05@example.com,IA,Vacataire,2019-07-04,Vacataire
TEACH-00003,Reynaud,Laetitia,M,1995-11-02,0246214530,techermichelle@example.net,Base de données,Professeur,2023-08-21,Vacataire
TEACH-00004,Raynaud,Valentine,M,1998-04-24,0532543466,martinbousquet@example.net,Intelligence Artificielle,Assistant,2007-01-16,Vacataire
TEACH-00005,Laurent,Roger,M,1964-05-14,03 67 84 66 98,greniermichelle@example.com,Python,Maître Assistant,2020-06-02,Vacataire
TEACH-00006,Thibault,Thibaut,M,1994-05-13,+33 (0)2 72 01 51 09,pauline37@example.net,Cloud,Assistant,2014-09-03,Vacataire
TEACH-00007,Becker,Laure,M,1980-08-13,01 49 81 07 00,xavier45@example.org,IA,Assistant,2022-02-05,Vacataire
TEACH-00008,Léger,Lucie,F,1992-05-15,+33 (0)1 41 88 46 54,yroy@example.com,Cloud,Vacataire,2012-08-31,Vacataire
TEACH-00009,Lelièvre,Alexandre,M,1981-07-17,+33 (0)2 37 46 79 96,marcgonzalez@example.com,Intelligence Artificielle,Assistant,2010-01-03,Vacataire
TEACH-00010,Marchand,Odette,F,1967-08-06,0561108470,patriciale-goff@example.com,Cybersécurité,Vacataire,2010-05-11,Vacataire
TEACH-00011,Gaudin,Juliette,F,1972-05-23,0237098787,christine13@example.com,Cloud,Assistant,2015-10-12,Permanent
TEACH-00012,Cohen,Henriette,M,1980-04-07,0556866096,krolland@example.org,Cybersécurité,Assistant,2023-06-25,Vacataire
TEACH-00013,Breton,Maryse,F,1974-07-12,02 72 43 90 30,valleealix@example.org,Base de données,Professeur,2019-01-11,Permanent
TEACH-00014,Arnaud,Théodore,F,1974-07-06,0182766458,obrunel@example.com,Intelligence Artificielle,Vacataire,2008-02-28,Permanent
TEACH-00015,Laurent,Dominique,M,1974-08-23,+33 4 85 19 24 26,ibonnin@example.org,Cybersécurité,Professeur,2008-09-11,Vacataire
TEACH-00016,Bazin,Lucas,F,1988-02-03,0536278949,michelodette@example.org,Intelligence Artificielle,Professeur,2007-08-30,Vacataire
TEACH-00017,Renault,Olivie,F,1974-01-25,+33 1 74 71 85 06,pdelahaye@example.com,IA,Professeur,2017-04-05,Vacataire
TEACH-00018,Gilles,Marcelle,F,1996-03-22,01 46 48 62 58,goncalvesclemence@example.net,Cybersécurité,Maître Assistant,2011-12-20,Permanent
TEACH-00019,Grenier,Luc,M,1991-12-30,+33 (0)4 57 08 53 22,eric48@example.com,IA,Professeur,2018-02-17,Vacataire
TEACH-00020,Morin,Sylvie,M,1971-07-06,0386591188,glopes@example.net,Cloud,Assistant,2022-03-29,Permanent
TEACH-00021,Adam,Monique,F,1997-08-30,0244336044,richard65@example.net,Intelligence Artificielle,Assistant,2022-10-19,Vacataire
TEACH-00022,Clerc,François,M,1994-02-13,+33 (0)2 43 99 87 82,urocher@example.com,Base de données,Professeur,2022-04-04,Vacataire
TEACH-00023,Vincent,Alex,F,1981-10-14,0661346378,bbrunel@example.com,Base de données,Assistant,2008-11-03,Permanent
TEACH-00024,Blanchard,Victor,F,1988-12-24,+33 (0)4 38 37 48 72,guichardfrederique@example.org,IA,Vacataire,2012-12-30,Vacataire
TEACH-00025,Guichard,Caroline,M,1972-05-12,03 25 64 86 34,marianne07@example.com,IA,Vacataire,2014-12-21,Vacataire
TEACH-00026,Gérard,Adrien,F,1998-09-01,03 63 67 48 00,yperrin@example.net,Base de données,Assistant,2023-11-27,Permanent
TEACH-00027,Cousin,Frédérique,M,1989-10-03,04 20 15 73 96,alicethomas@example.net,Cybersécurité,Vacataire,2018-10-30,Permanent
TEACH-00028,Martel,Cécile,F,1979-12-12,01 55 73 50 18,agnes57@example.org,Base de données,Assistant,2017-12-27,Permanent
TEACH-00029,Maurice,Sabine,M,1980-12-02,+33 5 87 64 64 31,lacombenicolas@example.org,Cybersécurité,Maître Assistant,2021-09-25,Permanent
TEACH-00030,Merle,Suzanne,F,1976-06-29,06 95 19 06 97,foucherwilliam@example.org,Data Science,Professeur,2013-07-01,Vacataire
TEACH-00031,Julien,Étienne,F,1999-11-05,+33 (0)7 71 02 09 23,leonallain@example.net,Intelligence Artificielle,Professeur,2017-07-16,Permanent
TEACH-00032,Potier,Augustin,F,1984-08-17,0143564484,chantal20@example.net,IA,Professeur,2014-02-26,Permanent
TEACH-00033,De Sousa,Rémy,M,1975-12-05,+221771234567,,Data Science,Professeur Senior,2021-02-16,Vacataire
TEACH-00034,Jacques,Célina,F,1991-04-11,0290977824,robertmaury@example.org,Base de données,Maître Assistant,2017-08-09,Vacataire
TEACH-00035,Dupuy,Olivie,F,1968-06-26,04 69 71 16 58,daniel03@example.com,Intelligence Artificielle,Vacataire,2008-11-28,Vacataire
TEACH-00036,Pires,Audrey,F,1988-08-21,+33 (0)4 86 70 25 62,brunetgabrielle@example.com,IA,Maître Assistant,2016-04-28,Permanent
TEACH-00037,Peron,David,M,1989-06-10,04 83 64 22 60,kmercier@example.net,Cloud,Maître Assistant,2008-02-02,Vacataire
TEACH-00038,Paris,Lucas,M,1965-01-02,0371043484,aurore70@example.com,Intelligence Artificielle,Professeur,2025-05-23,Permanent
TEACH-00039,Le Roux,Rémy,F,1966-01-10,+33 3 60 36 93 93,nicole07@example.net,Intelligence Artificielle,Maître Assistant,2016-05-31,Vacataire
TEACH-00040,Fabre,Augustin,F,1984-09-25,0633373261,eric42@example.com,Cloud,Professeur,2018-09-28,Permanent
TEACH-00041,Nicolas,Danielle,M,1992-02-14,+221771234567,,Intelligence Artificielle,Professeur,2011-07-10,Permanent
TEACH-00042,Lucas,Susan,M,1985-06-18,+33 1 56 90 04 29,georgeslaetitia@example.org,IA,Assistant,2019-01-26,Vacataire
TEACH-00043,Le Goff,Édith,F,1967-07-21,03 82 98 48 66,hmaury@example.net,Cloud,Professeur,2012-11-20,Vacataire
TEACH-00044,Michaud,Isaac,M,1966-04-08,0547726209,etienne17@example.net,Base de données,Professeur,2021-08-26,Vacataire
TEACH-00045,Briand,Alphonse,F,1964-08-27,06 53 17 07 10,cordiermargaux@example.org,Data Science,Professeur,2023-04-13,Vacataire
TEACH-00046,Lucas,Pierre,F,1974-06-02,0484017536,marcmarques@example.org,Data Science,Vacataire,2022-09-06,Permanent
TEACH-00047,Costa,Victoire,M,1989-02-19,06 34 85 45 73,jeanninedos-santos@example.com,Intelligence Artificielle,Professeur,2016-03-27,Vacataire
TEACH-00048,Thierry,Camille,M,1996-01-24,+33 (0)4 49 19 64 20,dgilles@example.org,Python,Maître Assistant,2024-03-04,Vacataire
TEACH-00049,Neveu,Gérard,M,1973-07-09,07 46 07 01 56,paulette23@example.net,Python,Vacataire,2018-02-09,Permanent
TEACH-00050,Bailly,Isaac,F,1986-03-18,+33 4 79 15 43 64,hoareaulaure@example.net,IA,Vacataire,2015-09-10,Vacataire
TEACH-00051,Lebreton,Catherine,M,1986-11-14,0222316147,marc28@example.org,Python,Vacataire,2020-06-15,Vacataire
TEACH-00052,Weber,Alexandria,M,1991-05-03,0531085330,durandrichard@example.net,Intelligence Artificielle,Maître Assistant,2019-11-24,Permanent
TEACH-00053,Boulay,Michel,F,1974-09-11,02 21 33 18 70,marcgirard@example.org,Cybersécurité,Vacataire,2024-03-01,Permanent
TEACH-00054,Camus,Étienne,M,1999-05-23,+33 6 34 96 43 03,aramos@example.net,IA,Maître Assistant,2010-06-15,Permanent
TEACH-00055,Maury,Marcel,F,1991-04-16,+33 (0)2 76 79 12 89,aureliefaure@example.com,Base de données,Maître Assistant,2021-05-01,Permanent
TEACH-00056,Vincent,Marthe,M,2000-11-23,+33 (0)2 32 72 04 91,paul20@example.net,Cloud,Assistant,2010-05-10,Vacataire
TEACH-00057,Gaudin,Isaac,M,1971-04-30,+33 (0)1 41 92 20 08,jbuisson@example.com,Cybersécurité,Maître Assistant,2016-06-27,Permanent
TEACH-00058,Diaz,David,M,1992-01-31,01 34 98 22 74,noellevy@example.org,Base de données,Professeur,2006-09-01,Permanent
TEACH-00059,Pinto,Sabine,F,1969-11-24,+33 (0)4 63 41 71 11,eugene68@example.net,Python,Vacataire,2018-01-10,Vacataire
TEACH-00060,Muller,Laetitia,M,1961-02-05,+33 2 33 98 20 72,susan25@example.org,Data Science,Vacataire,2023-01-10,Vacataire
TEACH-00061,Lévêque,Alexandre,F,1989-10-22,06 16 68 73 76,ffournier@example.org,Base de données,Maître Assistant,2021-06-28,Vacataire
TEACH-00062,Martinez,Capucine,F,1992-04-13,03 83 66 17 84,henrymanon@example.org,Cybersécurité,Assistant,2014-05-22,Vacataire
TEACH-00063,Alexandre,Gilbert,M,1978-11-28,+33 (0)4 30 78 25 42,dupregilbert@example.com,Cybersécurité,Maître Assistant,2012-04-11,Vacataire
TEACH-00064,Lelièvre,Guy,F,1991-09-12,+33 3 62 40 69 20,wparent@example.net,Python,Maître Assistant,2018-06-13,Permanent
TEACH-00065,Delorme,Éléonore,M,1972-10-08,0411408699,antoinette16@example.org,Cybersécurité,Assistant,2023-10-09,Vacataire
TEACH-00066,Alexandre,Paul,M,1987-02-23,+33 6 95 23 36 53,ymallet@example.com,Python,Maître Assistant,2017-08-29,Vacataire
TEACH-00067,Mendès,Stéphanie,F,1965-02-28,+33 (0)1 34 37 41 06,qlopes@example.org,Base de données,Assistant,2015-10-12,Permanent
TEACH-00068,Bigot,Éléonore,M,1961-03-27,+33 5 61 59 03 94,agatheduval@example.com,Cloud,Professeur,2013-09-09,Permanent
TEACH-00069,Grenier,Nicole,M,1970-02-27,05 46 44 48 65,anais89@example.org,Cybersécurité,Vacataire,2023-07-16,Vacataire
TEACH-00070,Munoz,Manon,F,1961-09-23,+33 5 54 71 77 01,nlaine@example.com,Cybersécurité,Assistant,2017-09-15,Vacataire
TEACH-00071,Dufour,Eugène,F,1964-04-06,01 40 67 08 27,philippineriviere@example.net,Data Science,Professeur,2024-03-30,Permanent
TEACH-00072,Pinto,Cécile,M,1998-10-25,+33 (0)1 64 73 25 58,marcelauger@example.com,Intelligence Artificielle,Maître Assistant,2023-11-03,Vacataire
TEACH-00073,Pinto,Michel,F,1983-10-21,0547146237,alixde-sousa@example.net,Cloud,Professeur,2010-10-27,Vacataire
TEACH-00074,Laurent,Caroline,F,1976-07-01,+33 3 24 49 15 89,tbuisson@example.org,Base de données,Professeur,2018-01-19,Permanent
TEACH-00075,Chauvin,Thibault,M,1965-11-27,07 63 48 16 81,wgodard@example.net,Intelligence Artificielle,Vacataire,2016-04-11,Vacataire
